SCHEME_CODE,SCHEME_NAME,SCHEME_TYPE,COMPANY_ID,LAUNCH_DATE
141589,Axis Corporate Bond Fund - Regular Plan - Daily IDCW,INF846K01ZV9,1052,
141594,Axis Corporate Bond Fund - Regular Plan - Monthly IDCW,INF846K01ZY3,1052,
141595,Axis Corporate Bond Fund - Regular Plan - Regular IDCW,INF846K01A03,1052,
141592,Axis Corporate Bond Fund - Regular Plan - Weekly IDCW,INF846K01ZW7,1052,
141593,Axis Corporate Bond Fund - Regular Plan Growth,INF846K01ZU1,1052,
139201,BANDHAN Corporate Bond Fund - Direct Annual IDCW,INF194KA1T34,1053,
135916,BANDHAN Corporate Bond Fund - Direct Growth,INF194KA1M23,1053,
139200,BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW,INF194KA1T00,1053,
139198,BANDHAN Corporate Bond Fund - Direct Monthly IDCW,INF194KA1S43,1053,
135917,BANDHAN Corporate Bond Fund - Direct Periodic IDCW,INF194KA1M31,1053,
139199,BANDHAN Corporate Bond Fund - Direct Quarterly IDCW,INF194KA1S76,1053,
139204,BANDHAN Corporate Bond Fund - Regular Annual IDCW,INF194KA1S19,1053,
135914,BANDHAN Corporate Bond Fund - Regular Growth,INF194KA1L81,1053,
139203,BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW,INF194KA1R85,1053,
139202,BANDHAN Corporate Bond Fund - Regular Monthly IDCW,INF194KA1R28,1053,
135915,BANDHAN Corporate Bond Fund - Regular Periodic IDCW,INF194KA1L99,1053,
139205,BANDHAN Corporate Bond Fund - Regular Quarterly IDCW,INF194KA1R51,1053,
150230,BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option,INF251K01EN4,1024,
150229,BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option,INF251K01EI4,1024,
150231,BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option,INF251K01EJ2,1024,
150228,BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option,INF251K01EL8,1024,
150236,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option,INF251K01GU4,1024,
150237,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option,INF251K01GP4,1024,
150238,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option,INF251K01GQ2,1024,
150239,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option,INF251K01GS8,1024,
150233,BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION,INF251K01EU9,1024,
150235,BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION,INF251K01EP9,1024,
150234,BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION,INF251K01EQ7,1024,
150232,BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION,INF251K01ES3,1024,
126685,CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION,INF760K01HB2,1054,
126686,CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),INF760K01HC0,1054,
126687,CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION,INF760K01GY6,1054,
126688,CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),INF760K01GZ3,1054,
144646,DSP Corporate Bond Fund - Direct - Growth,INF740KA1KE8,1055,
144647,DSP Corporate Bond Fund - Direct - IDCW,INF740KA1KF5,1055,
144651,DSP Corporate Bond Fund - Direct - IDCW - Monthly,INF740KA1KH1,1055,
144648,DSP Corporate Bond Fund - Direct - IDCW - Quarterly,INF740KA1KJ7,1055,
144644,DSP Corporate Bond Fund - Regular - Growth,INF740KA1JX0,1055,
144650,DSP Corporate Bond Fund - Regular - IDCW,INF740KA1JY8,1055,
144645,DSP Corporate Bond Fund - Regular - IDCW - Monthly,INF740KA1KA6,1055,
144649,DSP Corporate Bond Fund - Regular - IDCW - Quarterly,INF740KA1KC2,1055,
